timestamp,open,high,low,close
2024-10-04 10:20:00,1371.53,1372.56,1371.05,1372.42
2024-10-04 10:21:00,1372.23,1374.87,1371.99,1373.45
2024-10-04 10:22:00,1372.96,1375.13,1372.82,1373.5
2024-10-04 10:23:00,1373.79,1376.55,1373.43,1376.55
2024-10-04 10:24:00,1376.27,1377.94,1375.87,1376.22
2024-10-04 10:25:00,1375.82,1376.14,1374.75,1375.13
2024-10-04 10:26:00,1374.94,1376.87,1374.21,1376.81
2024-10-04 10:27:00,1376.57,1377.63,1373.06,1373.39
2024-10-04 10:28:00,1373.82,1374.28,1372.45,1372.69
2024-10-04 10:29:00,1372.58,1374.23,1372.52,1373.26
2024-10-04 10:30:00,1374.19,1374.61,1370.71,1371.31
2024-10-04 10:31:00,1371.56,1372.83,1371.33,1371.62
2024-10-04 10:32:00,1371.38,1371.38,1368.4,1369.7
2024-10-04 10:33:00,1369.69,1369.86,1368.28,1369.61
2024-10-04 10:34:00,1369.95,1371.98,1369.63,1370.44
2024-10-04 10:35:00,1370.56,1370.93,1367.99,1370.55
2024-10-04 10:36:00,1370.48,1371.92,1369.67,1370.17
2024-10-04 10:37:00,1370.57,1372.37,1370.47,1371.06
2024-10-04 10:38:00,1370.98,1373.82,1370.33,1372.51
2024-10-04 10:39:00,1372.07,1373.26,1371.78,1372.21
2024-10-04 10:40:00,1372.39,1372.5,1369.29,1371.66
2024-10-04 10:41:00,1371.61,1373.64,1370.49,1373.49
2024-10-04 10:42:00,1373.43,1374.96,1372.29,1372.64
2024-10-04 10:43:00,1372.59,1373.55,1370.99,1372.17
2024-10-04 10:44:00,1372.39,1375.89,1372.39,1373.85
2024-10-04 10:45:00,1373.68,1375.16,1372.45,1372.48
2024-10-04 10:46:00,1372.45,1372.57,1370.76,1371.68
2024-10-04 10:47:00,1371.73,1372.73,1369.74,1370.05
2024-10-04 10:48:00,1369.66,1371.62,1369.5,1371.62
2024-10-04 10:49:00,1372.05,1372.69,1371.27,1372.25
2024-10-04 10:50:00,1372.49,1374.21,1371.46,1374.21
2024-10-04 10:51:00,1373.66,1377.71,1373.66,1377.71
2024-10-04 10:52:00,1377.84,1379.41,1377.59,1379.13
2024-10-04 10:53:00,1378.88,1379.09,1375.45,1376.93
2024-10-04 10:54:00,1376.78,1378.38,1374.59,1376.17
2024-10-04 10:55:00,1376.76,1377.61,1371.77,1371.77
2024-10-04 10:56:00,1372.13,1372.58,1371.01,1372.24
2024-10-04 10:57:00,1371.8,1372.16,1368.74,1368.74
2024-10-04 10:58:00,1369.05,1370.38,1368.52,1370.14
2024-10-04 10:59:00,1369.88,1370.6,1367.96,1368.75
2024-10-04 11:00:00,1368.0,1369.31,1367.15,1369.3
2024-10-04 11:01:00,1369.23,1369.35,1365.87,1365.98
2024-10-04 11:02:00,1366.77,1366.77,1362.69,1362.71
2024-10-04 11:03:00,1362.65,1362.65,1359.04,1359.95
2024-10-04 11:04:00,1359.89,1360.76,1358.72,1359.51
2024-10-04 11:05:00,1359.82,1360.34,1358.34,1358.84
2024-10-04 11:06:00,1358.92,1359.42,1355.63,1355.79
2024-10-04 11:07:00,1355.43,1357.49,1354.43,1357.05
2024-10-04 11:08:00,1357.35,1357.44,1351.32,1351.32
2024-10-04 11:09:00,1351.31,1352.29,1350.54,1352.09
2024-10-04 11:10:00,1352.23,1352.23,1349.8,1352.14
2024-10-04 11:11:00,1352.02,1353.38,1352.02,1352.44
2024-10-04 11:12:00,1352.27,1353.77,1351.66,1353.03
2024-10-04 11:13:00,1353.49,1354.04,1351.79,1351.93
2024-10-04 11:14:00,1351.79,1353.31,1350.95,1351.28
2024-10-04 11:15:00,1351.17,1352.95,1351.17,1352.56
2024-10-04 11:16:00,1352.69,1354.07,1351.28,1351.29
2024-10-04 11:17:00,1351.23,1352.53,1350.31,1351.23
2024-10-04 11:18:00,1351.04,1352.48,1350.36,1352.48
2024-10-04 11:19:00,1352.32,1352.41,1350.13,1351.63
2024-10-04 11:20:00,1351.52,1352.49,1351.36,1352.42
2024-10-04 11:21:00,1352.86,1355.38,1352.41,1354.8
2024-10-04 11:22:00,1355.23,1356.24,1354.35,1354.35
2024-10-04 11:23:00,1354.73,1356.83,1354.73,1356.4
2024-10-04 11:24:00,1356.43,1356.65,1354.67,1356.49
2024-10-04 11:25:00,1356.14,1359.24,1356.14,1358.3
2024-10-04 11:26:00,1357.78,1360.43,1357.04,1359.19
2024-10-04 11:27:00,1359.12,1360.03,1357.1,1357.54
2024-10-04 11:28:00,1357.29,1359.75,1357.29,1359.31
2024-10-04 11:29:00,1359.23,1359.64,1357.24,1357.24
2024-10-04 11:30:00,1357.41,1357.79,1353.24,1353.24
2024-10-04 11:31:00,1352.5,1354.9,1352.5,1353.56
2024-10-04 11:32:00,1353.25,1354.21,1351.64,1351.66
2024-10-04 11:33:00,1351.83,1352.76,1350.34,1352.09
2024-10-04 11:34:00,1352.24,1354.86,1352.03,1354.86
2024-10-04 11:35:00,1354.74,1355.02,1353.29,1353.29
2024-10-04 11:36:00,1353.25,1353.25,1351.2,1351.99
2024-10-04 11:37:00,1352.92,1352.92,1350.52,1350.76
2024-10-04 11:38:00,1350.96,1350.96,1348.37,1349.57
2024-10-04 11:39:00,1349.61,1350.62,1348.02,1348.02
2024-10-04 11:40:00,1348.38,1350.74,1348.29,1350.74
2024-10-04 11:41:00,1350.29,1352.16,1350.18,1351.83
2024-10-04 11:42:00,1352.09,1352.9,1350.66,1351.87
2024-10-04 11:43:00,1351.57,1352.0,1351.0,1351.5
2024-10-04 11:44:00,1351.68,1355.46,1351.51,1355.46
2024-10-04 11:45:00,1355.8,1358.83,1355.55,1358.26
2024-10-04 11:46:00,1357.8,1358.1,1356.94,1357.86
2024-10-04 11:47:00,1357.81,1359.21,1357.3,1357.3
2024-10-04 11:48:00,1357.19,1357.19,1355.3,1356.59
2024-10-04 11:49:00,1356.73,1356.83,1353.75,1356.48
2024-10-04 11:50:00,1356.53,1360.72,1356.16,1360.72
2024-10-04 11:51:00,1360.59,1362.09,1359.76,1361.42
2024-10-04 11:52:00,1361.75,1362.44,1361.28,1361.98
2024-10-04 11:53:00,1361.81,1365.42,1361.81,1364.28
2024-10-04 11:54:00,1364.44,1365.44,1363.76,1364.44
2024-10-04 11:55:00,1364.37,1367.61,1364.15,1366.57
2024-10-04 11:56:00,1366.72,1367.68,1365.07,1365.07
