x,open,high,low,close,RSI_7,RSI_14,RSI_21,Stochastic %K,Stochastic %D
02/08/2024 00:58,2260.45,2260.81,2258.29,2259.24,,,,,
02/08/2024 00:59,2260.14,2261.15,2258.05,2258.05,0.0,0.0,0.0,,
02/08/2024 01:00,2257.52,2263.13,2256.39,2261.85,76.15230460922325,76.15230460922325,76.15230460922325,,
02/08/2024 01:01,2261.23,2263.97,2260.51,2262.29,78.08471454880782,78.08471454880782,78.08471454880782,,
02/08/2024 01:02,2262.14,2264.82,2260.75,2264.51,84.44444444444893,84.44444444444893,84.44444444444893,,
02/08/2024 01:03,2264.3,2265.66,2260.97,2265.66,86.47727272727616,86.47727272727616,86.47727272727616,,
02/08/2024 01:04,2264.98,2267.04,2264.98,2267.04,88.3104125736771,88.3104125736771,88.3104125736771,,
02/08/2024 01:05,2266.9,2268.65,2264.84,2264.89,72.91159772911733,72.91159772911733,72.91159772911733,,
02/08/2024 01:06,2265.12,2266.12,2263.01,2263.56,72.09302325581336,65.812591508054,65.812591508054,,
02/08/2024 01:07,2262.74,2263.1,2259.66,2262.38,52.69035532995028,60.57951482479949,60.57951482479949,,
02/08/2024 01:08,2262.47,2267.5,2262.47,2266.26,64.93604213694607,68.75000000000182,68.75000000000182,,
02/08/2024 01:09,2266.66,2268.29,2262.12,2262.12,42.14332675871032,56.299212598425534,56.299212598425534,,
02/08/2024 01:10,2262.17,2267.25,2262.17,2263.0,41.097724230255146,57.91912384161806,57.91912384161806,,
02/08/2024 01:11,2263.18,2263.64,2261.12,2262.83,34.66860888565225,57.50731911334204,57.50731911334204,52.52854812397993,
02/08/2024 01:12,2262.69,2264.75,2262.69,2263.95,46.29921259842506,59.408709548541914,59.408709548541914,61.6639477977146,
02/08/2024 01:13,2263.2,2265.65,2261.87,2261.87,43.71747211895904,57.36882716049324,54.85060863150156,44.69820554649201,52.963567156062176
02/08/2024 01:14,2260.86,2261.22,2256.74,2257.29,34.89614243323432,41.46067415730356,46.92331965919873,4.61796809404003,36.99337381274888
02/08/2024 01:15,2257.22,2259.13,2256.82,2257.85,18.920916481891396,41.72259507829972,47.84496124031024,9.319899244333321,19.545357628288453
02/08/2024 01:16,2257.28,2261.13,2256.52,2258.7,33.30078124999929,38.58546168958656,49.18429003021152,17.97197032151539,10.636612553296247
02/08/2024 01:17,2259.0,2260.68,2253.95,2253.95,17.930545712259416,29.845094664371842,43.01188903566706,0.0,9.097289855282904
02/08/2024 01:18,2255.2,2257.07,2253.64,2254.26,19.92982456140453,27.162258756255312,43.47484276729614,4.130579613593182,7.36751664503619
02/08/2024 01:19,2254.47,2258.8,2253.32,2258.76,35.28077141236652,39.89449390042932,49.43741209564045,36.33934535738228,13.489974990325152
02/08/2024 01:20,2258.24,2258.6,2252.73,2256.47,34.86547085201819,38.670501757750166,48.19469835466138,24.035989717222332,21.501971562732596
02/08/2024 01:21,2256.38,2263.56,2256.38,2263.56,65.40540540540474,51.586021505376074,51.817215727948984,69.60154241645222,43.32562583035227
02/08/2024 01:22,2264.07,2264.55,2259.02,2260.23,55.14705882352947,41.77353342428372,47.93752503003614,48.20051413881765,47.279348757497395
02/08/2024 01:23,2260.44,2260.82,2258.54,2260.46,53.91111111111143,47.4648747709227,45.77685088633981,53.23691460055115,57.012990385273675
02/08/2024 01:24,2262.01,2263.28,2258.79,2259.29,64.11205073995737,44.38389343021501,43.36043360433632,50.77399380804882,50.7371408491392
02/08/2024 01:25,2260.4,2260.91,2257.42,2257.78,58.74751491053658,42.65347686936329,40.37422037422078,39.08668730650274,47.69919857170091
02/08/2024 01:26,2257.89,2259.28,2253.42,2253.67,37.10086163203237,36.241970021413835,38.793447862565316,7.275541795666015,32.37874097007252
